날짜,지점,발생건수(건)
20170204,광주,1007
20170205,광주,185
20170206,광주,1497
20170207,광주,1157
20170208,광주,1138
20170209,광주,1118
20170210,광주,1026
20170211,광주,907
20170212,광주,199
20170213,광주,1701
20170214,광주,1205
20170215,광주,1125
20170216,광주,1113
20170217,광주,1184
20170218,광주,971
20170219,광주,209
20170220,광주,1519
20170221,광주,1226
20170222,광주,1008
20170223,광주,1196
20170224,광주,1167
20170225,광주,972
20170226,광주,195
20170227,광주,1535
20170228,광주,1246
20170301,광주,444
20170302,광주,1393
20170303,광주,1188
20170304,광주,938
20170305,광주,186
20170306,광주,1482
20170307,광주,1040
20170308,광주,1062
20170309,광주,1140
20170310,광주,1156
20170311,광주,991
20170312,광주,210
20170313,광주,1791
20170314,광주,1202
20170315,광주,1167
20170316,광주,1334
20170317,광주,1366
20170318,광주,1175
20170319,광주,216
20170320,광주,1741
20170321,광주,1388
20170322,광주,1306
20170323,광주,1323
20170324,광주,1461
20170325,광주,1245
20170326,광주,249
20170327,광주,2037
20170328,광주,1382
20170329,광주,1477
20170330,광주,1466
20170331,광주,1501
20170401,광주,1481
20170402,광주,238
20170403,광주,2200
20170404,광주,1567
20170405,광주,1329
20170406,광주,1589
20170407,광주,1550
20170408,광주,1209
20170409,광주,150
20170410,광주,2041
20170411,광주,1520
20170412,광주,1477
20170413,광주,1490
20170414,광주,1592
20170415,광주,1274
20170416,광주,226
20170417,광주,1937
20170418,광주,1465
20170419,광주,1373
20170420,광주,1402
20170421,광주,1603
20170422,광주,1217
20170423,광주,228
20170424,광주,2096
20170425,광주,1486
20170426,광주,1244
20170427,광주,1486
20170428,광주,1445
20170429,광주,1147
20170430,광주,180
20170501,광주,1881
20170502,광주,1614
20170503,광주,335
20170504,광주,1802
20170505,광주,262
20170506,광주,1212
20170507,광주,166
20170508,광주,1904
20170509,광주,836
20170510,광주,1343
20170511,광주,1215
20170512,광주,1145
20170513,광주,995
20170514,광주,153
20170515,광주,1568
20170516,광주,1221
20170517,광주,1026
20170518,광주,1114
20170519,광주,1217
20170520,광주,920
20170521,광주,167
20170522,광주,1667
20170523,광주,1125
20170524,광주,986
20170525,광주,1102
20170526,광주,1199
20170527,광주,912
20170528,광주,162
20170529,광주,1551
20170530,광주,1037
20170531,광주,1009
20170601,광주,1181
20170602,광주,1054
20170603,광주,954
20170604,광주,144
20170605,광주,1466
20170606,광주,280
20170607,광주,1305
20170608,광주,1047
20170609,광주,960
20170610,광주,884
20170611,광주,163
20170612,광주,1332
20170613,광주,966
20170614,광주,973
20170615,광주,1015
20170616,광주,947
20170617,광주,784
20170618,광주,135
20170619,광주,1362
20170620,광주,906
20170621,광주,841
20170622,광주,879
20170623,광주,900
20170624,광주,732
20170625,광주,133
20170626,광주,1108
20170627,광주,929
20170628,광주,791
20170629,광주,870
20170630,광주,846
20170701,광주,833
20170702,광주,103
20170703,광주,1082
20170704,광주,796
20170705,광주,688
20170706,광주,749
20170707,광주,814
20170708,광주,609
20170709,광주,106
20170710,광주,1069
20170711,광주,772
20170712,광주,704
20170713,광주,726
20170714,광주,740
20170715,광주,663
20170716,광주,135
20170717,광주,1024
20170718,광주,788
20170719,광주,700
20170720,광주,824
20170721,광주,759
20170722,광주,595
20170723,광주,101
20170724,광주,1055
20170725,광주,724
20170726,광주,702
20170727,광주,753
20170728,광주,813
20170729,광주,628
20170730,광주,149
20170731,광주,1017
20170801,광주,878
20170802,광주,715
20170803,광주,721
20170804,광주,728
20170805,광주,512
20170806,광주,117
20170807,광주,996
20170808,광주,812
20170809,광주,704
20170810,광주,703
20170811,광주,704
20170812,광주,584
20170813,광주,112
20170814,광주,1007
20170815,광주,203
20170816,광주,988
20170817,광주,821
20170818,광주,750
20170819,광주,689
20170820,광주,129
20170821,광주,1053
20170822,광주,888
20170823,광주,733
20170824,광주,823
20170825,광주,830
20170826,광주,679
20170827,광주,120
20170828,광주,1339
20170829,광주,838
20170830,광주,898
20170831,광주,954
20170901,광주,1054
20170902,광주,794
20170903,광주,177
20170904,광주,1328
20170905,광주,919
20170906,광주,781
20170907,광주,907
20170908,광주,950
20170909,광주,762
20170910,광주,140
20170911,광주,1336
20170912,광주,955
20170913,광주,954
20170914,광주,1063
20170915,광주,1048
20170916,광주,872
20170917,광주,164
20170918,광주,1436
20170919,광주,1053
20170920,광주,985
20170921,광주,1076
20170922,광주,1037
20170923,광주,880
20170924,광주,171
20170925,광주,1392
20170926,광주,1173
20170927,광주,1106
20170928,광주,1136
20170929,광주,1359
20170930,광주,1134
20171001,광주,381
20171002,광주,1407
20171003,광주,283
20171004,광주,156
20171005,광주,261
20171006,광주,569
20171007,광주,788
20171008,광주,131
20171009,광주,541
20171010,광주,1438
20171011,광주,934
20171012,광주,968
20171013,광주,1109
20171014,광주,832
20171015,광주,164
20171016,광주,1423
20171017,광주,990
20171018,광주,1017
20171019,광주,1028
20171020,광주,1041
20171021,광주,966
20171022,광주,244
20171023,광주,1671
20171024,광주,1198
20171025,광주,1169
20171026,광주,1227
20171027,광주,1259
20171028,광주,1031
20171029,광주,235
20171030,광주,1786
20171031,광주,1206
20171101,광주,1283
20171102,광주,1184
20171103,광주,1252
20171104,광주,1120
20171105,광주,229
20171106,광주,1801
20171107,광주,1268
20171108,광주,1301
20171109,광주,1274
20171110,광주,1305
20171111,광주,1186
20171112,광주,254
20171113,광주,1926
20171114,광주,1326
20171115,광주,1286
20171116,광주,1398
20171117,광주,1446
20171118,광주,1161
20171119,광주,221
20171120,광주,1911
20171121,광주,1385
20171122,광주,1264
20171123,광주,1297
20171124,광주,1435
20171125,광주,1141
20171126,광주,232
20171127,광주,2012
20171128,광주,1337
20171129,광주,1296
20171130,광주,1333
20171201,광주,1465
20171202,광주,1151
20171203,광주,255
20171204,광주,1967
20171205,광주,1251
20171206,광주,1266
20171207,광주,1318
20171208,광주,1312
20171209,광주,1157
20171210,광주,149
20171211,광주,1762
20171212,광주,1280
20171213,광주,1254
20171214,광주,1287
20171215,광주,1347
20171216,광주,1112
20171217,광주,167
20171218,광주,1911
20171219,광주,1377
20171220,광주,1214
20171221,광주,1257
20171222,광주,1414
20171223,광주,1245
20171224,광주,192
20171225,광주,391
20171226,광주,2078
20171227,광주,1448
20171228,광주,1392
20171229,광주,1654
20171230,광주,1242
20171231,광주,189
20180101,광주,542
20180102,광주,2142
20180103,광주,1465
20180104,광주,1448
20180105,광주,1650
20180106,광주,1218
20180107,광주,134
20180108,광주,1894
20180109,광주,1197
20180110,광주,1054
20180111,광주,1153
20180112,광주,1347
20180113,광주,1123
20180114,광주,161
20180115,광주,1881
20180116,광주,1187
20180117,광주,1355
20180118,광주,1229
20180119,광주,1285
20180120,광주,1000
20180121,광주,158
20180122,광주,1736
20180123,광주,1163
20180124,광주,1068
20180125,광주,1136
20180126,광주,1190
20180127,광주,923
20180128,광주,140
20180129,광주,1624
20180130,광주,1203
20180131,광주,1154
20180201,광주,1297
20180202,광주,1234
20180203,광주,921
20180204,광주,140
20180205,광주,1513
20180206,광주,1071
20180207,광주,1130
20180208,광주,1125
20180209,광주,1139
20180210,광주,925
20180211,광주,166
20180212,광주,1519
20180213,광주,1383
20180214,광주,1486
20180215,광주,349
20180216,광주,97
20180217,광주,232
20180218,광주,193
20180219,광주,1808
20180220,광주,1082
20180221,광주,1014
20180222,광주,1024
20180223,광주,1080
20180224,광주,851
20180225,광주,153
20180226,광주,1490
20180227,광주,1107
20180228,광주,1053
20180301,광주,404
20180302,광주,1379
20180303,광주,835
20180304,광주,142
20180305,광주,1242
20180306,광주,967
20180307,광주,897
20180308,광주,931
20180309,광주,991
20180310,광주,865
20180311,광주,178
20180312,광주,1498
20180313,광주,1048
20180314,광주,1010
20180315,광주,929
20180316,광주,1139
20180317,광주,950
20180318,광주,210
20180319,광주,1476
20180320,광주,1098
20180321,광주,970
20180322,광주,1116
20180323,광주,1158
20180324,광주,996
20180325,광주,204
20180326,광주,1638
20180327,광주,1153
20180328,광주,1081
20180329,광주,1256
20180330,광주,1192
20180331,광주,992
20180401,광주,328
20180402,광주,1631
20180403,광주,1161
20180404,광주,1122
20180405,광주,1141
20180406,광주,1193
20180407,광주,1032
20180408,광주,222
20180409,광주,1747
20180410,광주,1129
20180411,광주,1163
20180412,광주,1134
20180413,광주,1232
20180414,광주,1030
20180415,광주,200
20180416,광주,1649
20180417,광주,1171
20180418,광주,1145
20180419,광주,1191
20180420,광주,1309
20180421,광주,1023
20180422,광주,182
20180423,광주,1583
20180424,광주,1184
20180425,광주,1112
20180426,광주,1150
20180427,광주,1229
20180428,광주,1007
20180429,광주,188
20180430,광주,1762
20180501,광주,1119
20180502,광주,1174
20180503,광주,1263
20180504,광주,1363
20180505,광주,388
20180506,광주,185
20180507,광주,730
20180508,광주,1713
20180509,광주,1140
20180510,광주,1097
20180511,광주,1204
20180512,광주,1029
20180513,광주,200
20180514,광주,1586
20180515,광주,1139
20180516,광주,983
20180517,광주,1001
20180518,광주,1046
20180519,광주,865
20180520,광주,189
20180521,광주,1598
20180522,광주,276
20180523,광주,1292
20180524,광주,1071
20180525,광주,1050
20180526,광주,904
20180527,광주,179
20180528,광주,1449
20180529,광주,964
20180530,광주,882
20180531,광주,937
20180601,광주,1113
20180602,광주,809
20180603,광주,144
20180604,광주,1301
20180605,광주,1097
20180606,광주,249
20180607,광주,1138
20180608,광주,897
20180609,광주,706
20180610,광주,118
20180611,광주,1231
20180612,광주,884
20180613,광주,388
20180614,광주,1047
20180615,광주,863
20180616,광주,698
20180617,광주,116
20180618,광주,1096
20180619,광주,835
20180620,광주,785
20180621,광주,839
20180622,광주,765
20180623,광주,658
20180624,광주,129
20180625,광주,1121
20180626,광주,801
20180627,광주,658
20180628,광주,705
20180629,광주,792
20180630,광주,590
20160101,대구,335
20160102,대구,2184
20160103,대구,284
20160104,대구,3059
20160105,대구,2149
20160106,대구,1947
20160107,대구,2060
20160108,대구,2119
20160109,대구,1732
20160110,대구,197
20160111,대구,2646
20160112,대구,1894
20160113,대구,1682
20160114,대구,1824
20160115,대구,2096
20160116,대구,1575
20160117,대구,193
20160118,대구,2568
20160119,대구,1686
20160120,대구,1668
20160121,대구,1833
20160122,대구,1999
20160123,대구,1527
20160124,대구,175
20160125,대구,2444
20160126,대구,1829
20160127,대구,1720
20160128,대구,1669
20160129,대구,1676
20160130,대구,1641
20160131,대구,196
20160201,대구,2795
20160202,대구,2019
20160203,대구,1970
20160204,대구,2127
20160205,대구,2836
20160206,대구,2455
20160207,대구,221
20160208,대구,31
20160209,대구,280
20160210,대구,1526
20160211,대구,3203
20160212,대구,2378
20160213,대구,2061
20160214,대구,206
20160215,대구,3018
20160216,대구,2081
20160217,대구,2029
20160218,대구,2027
20160219,대구,2237
20160220,대구,1681
20160221,대구,215
20160222,대구,2829
20160223,대구,1951
20160224,대구,1899
20160225,대구,1985
20160226,대구,2121
20160227,대구,1485
20160228,대구,206
20160229,대구,2777
20160301,대구,614
20160302,대구,2184
20160303,대구,1839
20160304,대구,1789
20160305,대구,1552
20160306,대구,190
20160307,대구,2265
20160308,대구,1725
20160309,대구,1674
20160310,대구,1693
20160311,대구,1893
20160312,대구,1609
20160313,대구,175
20160314,대구,2671
20160315,대구,1878
20160316,대구,1806
20160317,대구,1876
20160318,대구,2020
20160319,대구,1945
20160320,대구,220
20160321,대구,2851
20160322,대구,1986
20160323,대구,1949
20160324,대구,2013
20160325,대구,2251
20160326,대구,1861
20160327,대구,245
20160328,대구,2889
20160329,대구,2092
20160330,대구,1948
20160331,대구,1995
20160401,대구,2230
20160402,대구,1840
20160403,대구,211
20160404,대구,2986
20160405,대구,2016
20160406,대구,1813
20160407,대구,1930
20160408,대구,2103
20160409,대구,1794
20160410,대구,236
20160411,대구,2909
20160412,대구,2074
20160413,대구,1118
20160414,대구,2122
20160415,대구,2050
20160416,대구,1822
20160417,대구,213
20160418,대구,2693
20160419,대구,1957
20160420,대구,1808
20160421,대구,1884
20160422,대구,2037
20160423,대구,1749
20160424,대구,181
20160425,대구,2816
20160426,대구,2095
20160427,대구,1785
20160428,대구,2157
20160429,대구,2144
20160430,대구,1790
20160501,대구,329
20160502,대구,2735
20160503,대구,1909
20160504,대구,2150
20160505,대구,464
20160506,대구,2000
20160507,대구,1532
20160508,대구,209
20160509,대구,2786
20160510,대구,1663
20160511,대구,1825
20160512,대구,1781
20160513,대구,1974
20160514,대구,673
20160515,대구,227
20160516,대구,2733
20160517,대구,1785
20160518,대구,1719
20160519,대구,1709
20160520,대구,1896
20160521,대구,1536
20160522,대구,200
20160523,대구,2645
20160524,대구,1623
20160525,대구,1721
20160526,대구,1775
20160527,대구,1769
20160528,대구,1505
20160529,대구,187
20160530,대구,2187
20160531,대구,1683
20160601,대구,1619
20160602,대구,1536
20160603,대구,1713
20160604,대구,1355
20160605,대구,157
20160606,대구,577
20160607,대구,2252
20160608,대구,1364
20160609,대구,1408
20160610,대구,1507
20160611,대구,1108
20160612,대구,153
20160613,대구,1750
20160614,대구,1261
20160615,대구,1312
20160616,대구,1272
20160617,대구,1348
20160618,대구,1051
20160619,대구,137
20160620,대구,1728
20160621,대구,1292
20160622,대구,1217
20160623,대구,1159
20160624,대구,1227
20160625,대구,1054
20160626,대구,115
20160627,대구,1720
20160628,대구,1203
20160629,대구,1202
20160630,대구,1202
20160701,대구,1327
20160702,대구,994
20160703,대구,124
20160704,대구,1630
20160705,대구,1118
20160706,대구,929
20160707,대구,1142
20160708,대구,1208
20160709,대구,877
20160710,대구,121
20160711,대구,1545
20160712,대구,1087
20160713,대구,1048
20160714,대구,1099
20160715,대구,1190
20160716,대구,979
20160717,대구,98
20160718,대구,1540
20160719,대구,1053
20160720,대구,1055
20160721,대구,1048
20160722,대구,1179
20160723,대구,861
20160724,대구,101
20160725,대구,1539
20160726,대구,1117
20160727,대구,996
20160728,대구,1036
20160729,대구,1118
20160730,대구,695
20160731,대구,102
20160801,대구,1300
20160802,대구,949
20160803,대구,956
20160804,대구,991
20160805,대구,1010
20160806,대구,654
20160807,대구,103
20160808,대구,1293
20160809,대구,1025
20160810,대구,954
20160811,대구,961
20160812,대구,996
20160813,대구,722
20160814,대구,109
20160815,대구,306
20160816,대구,1432
20160817,대구,953
20160818,대구,1015
20160819,대구,1128
20160820,대구,814
20160821,대구,138
20160822,대구,1449
20160823,대구,1002
20160824,대구,1006
20160825,대구,1109
20160826,대구,1153
20160827,대구,891
20160828,대구,148
20160829,대구,1746
20160830,대구,1251
20160831,대구,1239
20160901,대구,1271
20160902,대구,1233
20160903,대구,1109
20160904,대구,192
20160905,대구,1722
20160906,대구,1333
20160907,대구,1354
20160908,대구,1435
20160909,대구,1542
20160910,대구,1357
20160911,대구,248
20160912,대구,2334
20160913,대구,2181
20160914,대구,621
20160915,대구,54
20160916,대구,305
20160917,대구,1357
20160918,대구,296
20160919,대구,2573
20160920,대구,1688
20160921,대구,1603
20160922,대구,1781
20160923,대구,1679
20160924,대구,1436
20160925,대구,266
20160926,대구,2210
20160927,대구,1551
20160928,대구,1418
20160929,대구,1745
20160930,대구,1720
20161001,대구,1664
20161002,대구,245
20161003,대구,770
20161004,대구,2572
20161005,대구,1525
20161006,대구,1619
20161007,대구,1751
20161008,대구,1453
20161009,대구,205
20161010,대구,2617
20161011,대구,1899
20161012,대구,1711
20161013,대구,1813
20161014,대구,1909
20161015,대구,1611
20161016,대구,269
20161017,대구,2629
20161018,대구,1831
20161019,대구,1772
20161020,대구,1842
20161021,대구,2053
20161022,대구,1738
20161023,대구,339
20161024,대구,2721
20161025,대구,1994
20161026,대구,1863
20161027,대구,2000
20161028,대구,2054
20161029,대구,1882
20161030,대구,288
20161031,대구,2915
20161101,대구,2189
20161102,대구,2118
20161103,대구,2111
20161104,대구,2349
20161105,대구,1943
20161106,대구,338
20161107,대구,3062
20161108,대구,2160
20161109,대구,1994
20161110,대구,2147
20161111,대구,2337
20161112,대구,1952
20161113,대구,309
20161114,대구,3152
20161115,대구,2106
20161116,대구,2109
20161117,대구,2035
20161118,대구,2174
20161119,대구,2011
20161120,대구,274
20161121,대구,2912
20161122,대구,2039
20161123,대구,1932
20161124,대구,1932
20161125,대구,2180
20161126,대구,1820
20161127,대구,310
20161128,대구,2758
20161129,대구,1921
20161130,대구,1856
20161201,대구,2157
20161202,대구,2092
20161203,대구,1685
20161204,대구,253
20161205,대구,2659
20161206,대구,1934
20161207,대구,1841
20161208,대구,1866
20161209,대구,2118
20161210,대구,1660
20161211,대구,231
20161212,대구,2788
20161213,대구,1994
20161214,대구,1866
20161215,대구,1936
20161216,대구,2105
20161217,대구,1695
20161218,대구,192
20161219,대구,2789
20161220,대구,2196
20161221,대구,1999
20161222,대구,2181
20161223,대구,2270
20161224,대구,1760
20161225,대구,167
20161226,대구,2743
20161227,대구,2121
20161228,대구,1909
20161229,대구,2068
20161230,대구,2222
20161231,대구,1575
20170101,대구,303
20170102,대구,2369
20170103,대구,1775
20170104,대구,1714
20170105,대구,1655
20170106,대구,1764
20170107,대구,1241
20170108,대구,130
20170109,대구,2291
20170110,대구,1474
20170111,대구,1425
20170112,대구,1485
20170113,대구,1620
20170114,대구,1097
20170115,대구,118
20170116,대구,2054
20170117,대구,1527
20170118,대구,1405
20170119,대구,1427
20170120,대구,1566
20170121,대구,1214
20170122,대구,148
20170123,대구,2144
20170124,대구,1564
20170125,대구,1664
20170126,대구,2176
20170127,대구,397
20170128,대구,24
20170129,대구,138
20170130,대구,696
20170131,대구,2141
20170201,대구,1605
20170202,대구,1428
20170203,대구,1599
20170204,대구,1228
20170205,대구,158
20170206,대구,1981
20170207,대구,1484
20170208,대구,1382
20170209,대구,1371
20170210,대구,1547
20170211,대구,1191
20170212,대구,149
20170213,대구,2141
20170214,대구,1469
20170215,대구,1384
20170216,대구,1521
20170217,대구,1637
20170218,대구,1220
20170219,대구,176
20170220,대구,2022
20170221,대구,1531
20170222,대구,1381
20170223,대구,1577
20170224,대구,1613
20170225,대구,1140
20170226,대구,165
20170227,대구,2189
20170228,대구,1612
20170301,대구,510
20170302,대구,1798
20170303,대구,1504
20170304,대구,1228
20170305,대구,138
20170306,대구,1927
20170307,대구,1428
20170308,대구,1347
20170309,대구,1393
20170310,대구,1571
20170311,대구,1225
20170312,대구,191
20170313,대구,2059
20170314,대구,1561
20170315,대구,1389
20170316,대구,1544
20170317,대구,1636
20170318,대구,1390
20170319,대구,184
20170320,대구,2294
20170321,대구,1726
20170322,대구,1713
20170323,대구,1807
20170324,대구,1960
20170325,대구,1654
20170326,대구,212
20170327,대구,2566
20170328,대구,1843
20170329,대구,1795
20170330,대구,1755
20170331,대구,2007
20170401,대구,1883
20170402,대구,274
20170403,대구,2576
20170404,대구,1895
20170405,대구,1834
20170406,대구,1915
20170407,대구,2000
20170408,대구,1534
20170409,대구,239
20170410,대구,2575
20170411,대구,1804
20170412,대구,1851
20170413,대구,1891
20170414,대구,1958
20170415,대구,1665
20170416,대구,237
20170417,대구,2405
20170418,대구,1846
20170419,대구,1847
20170420,대구,1871
20170421,대구,2046
20170422,대구,1659
20170423,대구,260
20170424,대구,2666
20170425,대구,1990
20170426,대구,1769
20170427,대구,2047
20170428,대구,2118
20170429,대구,1757
20170430,대구,233
20170501,대구,2605
20170502,대구,2202
20170503,대구,548
20170504,대구,2405
20170505,대구,446
20170506,대구,1637
20170507,대구,209
20170508,대구,2566
20170509,대구,1027
20170510,대구,1808
20170511,대구,1661
20170512,대구,1581
20170513,대구,1203
20170514,대구,182
20170515,대구,2053
20170516,대구,1489
20170517,대구,1381
20170518,대구,1419
20170519,대구,1530
20170520,대구,1250
20170521,대구,180
20170522,대구,2036
20170523,대구,1446
20170524,대구,1346
20170525,대구,1425
20170526,대구,1445
20170527,대구,1141
20170528,대구,159
20170529,대구,1923
20170530,대구,1383
20170531,대구,1296
20170601,대구,1436
20170602,대구,1483
20170603,대구,1030
20170604,대구,155
20170605,대구,1961
20170606,대구,374
20170607,대구,1608
20170608,대구,1327
20170609,대구,1342
20170610,대구,955
20170611,대구,141
20170612,대구,1781
20170613,대구,1254
20170614,대구,1145
20170615,대구,1178
20170616,대구,1260
20170617,대구,946
20170618,대구,124
20170619,대구,1633
20170620,대구,1163
20170621,대구,1119
20170622,대구,1189
20170623,대구,1167
20170624,대구,923
20170625,대구,142
20170626,대구,1556
20170627,대구,1110
20170628,대구,1060
20170629,대구,1107
20170630,대구,1109
20170701,대구,995
20170702,대구,132
20170703,대구,1352
20170704,대구,991
20170705,대구,960
20170706,대구,970
20170707,대구,1093
20170708,대구,732
20170709,대구,122
20170710,대구,1390
20170711,대구,979
20170712,대구,835
20170713,대구,894
20170714,대구,942
20170715,대구,773
20170716,대구,111
20170717,대구,1153
20170718,대구,958
20170719,대구,912
20170720,대구,879
20170721,대구,914
20170722,대구,648
20170723,대구,109
20170724,대구,1242
20170725,대구,980
20170726,대구,890
20170727,대구,974
20170728,대구,1034
20170729,대구,673
20170730,대구,91
20170731,대구,1152
20170801,대구,1020
20170802,대구,849
20170803,대구,888
20170804,대구,901
20170805,대구,581
20170806,대구,80
20170807,대구,1169
20170808,대구,858
20170809,대구,832
20170810,대구,851
20170811,대구,951
20170812,대구,570
20170813,대구,93
20170814,대구,1133
20170815,대구,211
20170816,대구,1172
20170817,대구,911
20170818,대구,995
20170819,대구,659
20170820,대구,130
20170821,대구,1213
20170822,대구,919
20170823,대구,848
20170824,대구,958
20170825,대구,956
20170826,대구,732
20170827,대구,139
20170828,대구,1493
20170829,대구,1024
20170830,대구,1089
20170831,대구,1098
20170901,대구,1297
20170902,대구,884
20170903,대구,160
20170904,대구,1492
20170905,대구,1073
20170906,대구,1070
20170907,대구,1099
20170908,대구,1153
20170909,대구,949
20170910,대구,174
20170911,대구,1543
20170912,대구,1181
20170913,대구,1156
20170914,대구,1208
20170915,대구,1336
20170916,대구,1090
20170917,대구,166
20170918,대구,1705
20170919,대구,1337
20170920,대구,1258
20170921,대구,1424
20170922,대구,1418
20170923,대구,1153
20170924,대구,178
20170925,대구,1816
20170926,대구,1397
20170927,대구,1292
20170928,대구,1529
20170929,대구,1669
20170930,대구,1427
20171001,대구,337
20171002,대구,2136
20171003,대구,325
20171004,대구,56
20171005,대구,315
20171006,대구,706
20171007,대구,1000
20171008,대구,176
20171009,대구,715
20171010,대구,1796
20171011,대구,1231
20171012,대구,1184
20171013,대구,1420
20171014,대구,1061
20171015,대구,158
20171016,대구,1738
20171017,대구,1257
20171018,대구,1263
20171019,대구,1266
20171020,대구,1412
20171021,대구,1127
20171022,대구,205
20171023,대구,1952
20171024,대구,1452
20171025,대구,1387
20171026,대구,1475
20171027,대구,1579
20171028,대구,1274
20171029,대구,265
20171030,대구,2254
20171031,대구,1554
20171101,대구,1604
20171102,대구,1631
20171103,대구,1648
20171104,대구,1400
20171105,대구,240
20171106,대구,2387
20171107,대구,1629
20171108,대구,1546
20171109,대구,1587
20171110,대구,1709
20171111,대구,1482
20171112,대구,253
20171113,대구,2423
20171114,대구,1777
20171115,대구,1593
20171116,대구,1689
20171117,대구,1794
20171118,대구,1357
20171119,대구,232
20171120,대구,2391
20171121,대구,1651
20171122,대구,1576
20171123,대구,1659
20171124,대구,1845
20171125,대구,1425
20171126,대구,267
20171127,대구,2371
20171128,대구,1661
20171129,대구,1601
20171130,대구,1616
20171201,대구,1880
20171202,대구,1419
20171203,대구,255
20171204,대구,2196
20171205,대구,1578
20171206,대구,1589
20171207,대구,1616
20171208,대구,1718
20171209,대구,1378
20171210,대구,211
20171211,대구,2173
20171212,대구,1502
20171213,대구,1622
20171214,대구,1645
20171215,대구,1751
20171216,대구,1353
20171217,대구,210
20171218,대구,2390
20171219,대구,1797
20171220,대구,1674
20171221,대구,1826
20171222,대구,2016
20171223,대구,1640
20171224,대구,171
20171225,대구,450
20171226,대구,3018
20171227,대구,2024
20171228,대구,2119
20171229,대구,2375
20171230,대구,1736
20171231,대구,197
20180101,대구,403
20180102,대구,3065
20180103,대구,1986
20180104,대구,1915
20180105,대구,2298
20180106,대구,1552
20180107,대구,140
20180108,대구,2602
20180109,대구,1828
20180110,대구,1720
20180111,대구,1812
20180112,대구,1896
20180113,대구,1349
20180114,대구,125
20180115,대구,2344
20180116,대구,1608
20180117,대구,1591
20180118,대구,1630
20180119,대구,1795
20180120,대구,1234
20180121,대구,133
20180122,대구,2245
20180123,대구,1472
20180124,대구,1325
20180125,대구,1409
20180126,대구,1432
20180127,대구,1135
20180128,대구,123
20180129,대구,1853
20180130,대구,1435
20180131,대구,1367
20180201,대구,1451
20180202,대구,1516
20180203,대구,1097
20180204,대구,132
20180205,대구,1766
20180206,대구,1343
20180207,대구,1298
20180208,대구,1435
20180209,대구,1424
20180210,대구,1113
20180211,대구,125
20180212,대구,1996
20180213,대구,1739
20180214,대구,2037
20180215,대구,384
20180216,대구,인천
20180217,대구,197
20180218,대구,176
20180219,대구,2121
20180220,대구,1385
20180221,대구,1259
20180222,대구,1305
20180223,대구,1324
20180224,대구,936
20180225,대구,99
20180226,대구,1865
20180227,대구,1357
20180228,대구,1272
20180301,대구,431
20180302,대구,1608
20180303,대구,882
20180304,대구,109
20180305,대구,1507
20180306,대구,1190
20180307,대구,1047
20180308,대구,896
20180309,대구,1320
20180310,대구,940
20180311,대구,118
20180312,대구,1758
20180313,대구,1267
20180314,대구,1204
20180315,대구,1187
20180316,대구,1345
20180317,대구,1107
20180318,대구,135
20180319,대구,1775
20180320,대구,1522
20180321,대구,1191
20180322,대구,1501
20180323,대구,1541
20180324,대구,1226
20180325,대구,166
20180326,대구,2084
20180327,대구,1507
20180328,대구,1412
20180329,대구,1445
20180330,대구,1558
20180331,대구,1214
20180401,대구,316
20180402,대구,2206
20180403,대구,1491
20180404,대구,1435
20180405,대구,1566
20180406,대구,1706
20180407,대구,1449
20180408,대구,174
20180409,대구,2260
20180410,대구,1628
20180411,대구,1560
20180412,대구,1651
20180413,대구,1870
20180414,대구,1411
20180415,대구,224
20180416,대구,2257
20180417,대구,1765
20180418,대구,1654
20180419,대구,1873
20180420,대구,2037
20180421,대구,1637
20180422,대구,268
20180423,대구,2409
20180424,대구,1907
20180425,대구,1717
20180426,대구,1779
20180427,대구,1925
20180428,대구,1618
20180429,대구,228
20180430,대구,2498
20180501,대구,1656
20180502,대구,1708
20180503,대구,1830
20180504,대구,2101
20180505,대구,483
20180506,대구,223
20180507,대구,1206
20180508,대구,2214
20180509,대구,1665
20180510,대구,1675
20180511,대구,1706
20180512,대구,1317
20180513,대구,189
20180514,대구,2120
20180515,대구,1535
20180516,대구,1485
20180517,대구,1448
20180518,대구,1532
20180519,대구,1100
20180520,대구,192
20180521,대구,2205
20180522,대구,373
20180523,대구,1821
20180524,대구,1423
20180525,대구,1535
20180526,대구,1103
20180527,대구,161
20180528,대구,1935
20180529,대구,1375
20180530,대구,1253
20180531,대구,1300
20180601,대구,1622
20180602,대구,1036
20180603,대구,150
20180604,대구,1836
20180605,대구,1445
20180606,대구,332
20180607,대구,1639
20180608,대구,1268
20180609,대구,989
20180610,대구,130
20180611,대구,1711
20180612,대구,1340
20180613,대구,539
20180614,대구,1350
20180615,대구,1286
20180616,대구,881
20180617,대구,107
20180618,대구,1553
20180619,대구,1098
20180620,대구,1049
20180621,대구,1078
20180622,대구,1177
20180623,대구,869
20180624,대구,106
20180625,대구,1518
20180626,대구,1140
20180627,대구,943
20180628,대구,1027
20180629,대구,1041
20180630,대구,761
20160101,대전,351
20160102,대전,1192
20160103,대전,239
20160104,대전,1703
20160105,대전,1210
20160106,대전,1148
20160107,대전,1148
20160108,대전,1138
20160109,대전,1005
20160110,대전,202
20160111,대전,1458
20160112,대전,1018
20160113,대전,1005
20160114,대전,983
20160115,대전,1095
20160116,대전,912
20160117,대전,153
20160118,대전,1315
20160119,대전,907
20160120,대전,980
